cat1,year,set_num
Lego_movie_brand,2002,21
Lego_movie_brand,2010,19
Lego_movie_brand,2011,48
Lego_movie_brand,2012,47
Lego_movie_brand,2013,35
Lego_movie_brand,2014,82
Lego_movie_brand,2015,81
Lego_movie_brand,2016,40
Lego_movie_brand,2017,25
Lego_movie_brand,2018,48
Lego_movie_brand,2019,91
Lego_movie_brand,2020,47
Lego_movie_brand,2021,45
Lego_movie_brand,2022,45
Lego_movie_brand,2023,36
Licensed,1994,4
Licensed,1999,15
Licensed,2000,32
Licensed,2001,27
Licensed,2002,54
Licensed,2003,35
Licensed,2004,47
Licensed,2005,34
Licensed,2006,26
Licensed,2007,22
Licensed,2008,45
Licensed,2009,46
Licensed,2010,63
Licensed,2011,83
Licensed,2012,114
Licensed,2013,105
Licensed,2014,104
Licensed,2015,125
Licensed,2016,130
Licensed,2017,155
Licensed,2018,193
Licensed,2019,144
Licensed,2020,155
Licensed,2021,173
Licensed,2022,158
Licensed,2023,138
Licensed_Game,2013,3
Licensed_Game,2014,8
Licensed_Game,2015,5
Licensed_Game,2016,8
Licensed_Game,2017,9
Licensed_Game,2018,13
Licensed_Game,2019,19
Licensed_Game,2020,46
Licensed_Game,2021,57
Licensed_Game,2022,63
Licensed_Game,2023,40
main,1990,94
main,1991,114
main,1992,126
main,1993,114
main,1994,132
main,1995,164
main,1996,162
main,1997,243
main,1998,365
main,1999,314
main,2000,294
main,2001,334
main,2002,404
main,2003,396
main,2004,327
main,2005,276
main,2006,262
main,2007,265
main,2008,270
main,2009,340
main,2010,262
main,2011,253
main,2012,304
main,2013,353
main,2014,482
main,2015,442
main,2016,473
main,2017,414
main,2018,396
main,2019,395
main,2020,434
main,2021,528
main,2022,450
main,2023,313
